Team,Wins,Losses,Win Percentage,Home Wins,Home Losses,Home Win Percent,Road Wins,Road Losses,Road Win Percentage
Green Bay Packers,13,4,0.764705882,8,0,1,5,4,0.555555556
Tampa Bay Buccaneers,13,4,0.764705882,7,1,0.875,6,3,0.666666667
Dallas Cowboys,12,5,0.705882353,5,3,0.625,7,2,0.777777778
Kansas City Chiefs,12,5,0.705882353,7,2,0.777777778,5,3,0.625
Los Angeles Rams,12,5,0.705882353,5,3,0.625,7,2,0.777777778
Tennessee Titans,12,5,0.705882353,7,2,0.777777778,5,3,0.625
Arizona Cardinals,11,6,0.647058824,3,5,0.375,8,1,0.888888889
Buffalo Bills,11,6,0.647058824,6,3,0.666666667,5,3,0.625
Cincinnati Bengals,10,7,0.588235294,5,4,0.555555556,5,3,0.625
Las Vegas Raiders,10,7,0.588235294,5,4,0.555555556,5,3,0.625
New England Patriots,10,7,0.588235294,4,5,0.444444444,6,2,0.75
San Francisco 49ers,10,7,0.588235294,4,4,0.5,6,3,0.666666667
Pittsburgh Steelers,9,7,0.5625,6,2,0.75,3,5,0.375
Indianapolis Colts,9,8,0.529411765,4,5,0.444444444,5,3,0.625
Los Angeles Chargers,9,8,0.529411765,5,4,0.555555556,4,4,0.5
Miami Dolphins,9,8,0.529411765,6,3,0.666666667,3,5,0.375
New Orleans Saints,9,8,0.529411765,3,5,0.375,6,3,0.666666667
Philadelphia Eagles,9,8,0.529411765,3,5,0.375,6,3,0.666666667
Baltimore Ravens,8,9,0.470588235,5,4,0.555555556,3,5,0.375
Cleveland Browns,8,9,0.470588235,6,3,0.666666667,2,6,0.25
Minnesota Vikings,8,9,0.470588235,5,3,0.625,3,6,0.333333333
Atlanta Falcons,7,10,0.411764706,2,6,0.25,5,4,0.555555556
Denver Broncos,7,10,0.411764706,4,5,0.444444444,3,5,0.375
Seattle Seahawks,7,10,0.411764706,3,5,0.375,4,5,0.444444444
Washington Commanders,7,10,0.411764706,3,5,0.375,4,5,0.444444444
Chicago Bears,6,11,0.352941176,3,5,0.375,3,6,0.333333333
Carolina Panthers,5,12,0.294117647,2,6,0.25,3,6,0.333333333
Houston Texans,4,13,0.235294118,2,7,0.222222222,2,6,0.25
New York Giants,4,13,0.235294118,3,5,0.375,1,8,0.111111111
New York Jets,4,13,0.235294118,3,6,0.333333333,1,7,0.125
Detroit Lions,3,13,0.1875,3,5,0.375,0,8,0
Jacksonville Jaguars,3,14,0.176470588,3,6,0.333333333,0,8,0
